"Domain","CustomDomains","EndpointName","RouteName","Pattern","OriginGroup","AppServiceURLs"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001206","/WinkRESTv6.00.12.06/*","6001206-rest","wink-prod-app-winkrest-6001206-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkHolderRESTv6001205a-ss","/WinkHolderRESTv6.00.12.05a/*","6001205a-hold-ss","wink-prod-app-winkhold-6001205a-ss-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkRESTv6001205a-ss","/WinkRESTv6.00.12.05a/*","6001205a-rest-ss","wink-prod-app-winkrest-6001205a-ss-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkHolderRESTv6001205d-loblaw","/WinkHolderRESTv6.00.12.05d/*","6001205d-hold-loblaw","wink-prod-app-winkhold-6001205d-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkRESTv6001205d-loblaw","/WinkRESTv6.00.12.05d/*","6001205d-rest-loblaw","wink-prod-app-winkrest-6001205d-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001207a","/WinkHolderRESTv6.00.12.07a/*","6001207a-hold","wink-prod-app-winkhold-6001207a-can-central-bqevfhfdendaegcp.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001207a","/WinkRESTv6.00.12.07a/*","6001207a-rest","wink-prod-app-winkrest-6001207a-can-central-cfceehavcnfqebg5.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001208","/WinkHolderRESTv6.00.12.08/*","6001208-hold","wink-prod-app-winkhold-6001208-can-central-fzevg8a3ckbpfdav.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001208","/WinkRESTv6.00.12.08/*","6001208-rest","wink-prod-app-winkrest-6001208-can-central-akeuaqbufdfmgpgx.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-new-downloadwink-com","download-wink","wink-ecommV5-new","/wink-ecommV5/*, /wink-ecommV4/*","wink-ecommV5-new","wink-prod-app-winkecomm57-can-central-etd2bmb9ghb6bwfr.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001207","/WinkRESTv6.00.12.07/*","6001207-rest","wink-prod-app-winkrest-6001207-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001207","/WinkHolderRESTv6.00.12.07/*","6001207-hold","wink-prod-app-winkhold-6001207-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001207b","/WinkHolderRESTv6.00.12.07b/*","6001207b-hold","wink-prod-app-winkhold-6001207b-can-central-hufqeaddccghe3g3.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001207b","/WinkRESTv6.00.12.07b/*","6001207b-rest","wink-prod-app-winkrest-6001207b-can-central-eqhqhaceb3b2cjaq.canadacentral-01.azurewebsites.net"
